panel,item,fast_mean,nonfast_mean,firstgen_mean,contgen_mean,cohens_d
fast_nonfast_distress,Academic,3.9171601809463046,3.767892949465759,NA,NA,NA
fast_nonfast_distress,Lonely,3.8987092113624464,3.7451721832108404,NA,NA,NA
fast_nonfast_distress,Mental,3.9246959927233296,3.7460955827660123,NA,NA,NA
fast_nonfast_distress,Exhaust,3.9347393755860973,3.7691536367055907,NA,NA,NA
fast_nonfast_distress,Sleep,3.921721251347397,3.772341779330532,NA,NA,NA
fast_nonfast_distress,Financial,3.936666193757985,3.7450478690669833,NA,NA,NA
fast_nonfast_engagement,Students,4.843277131094589,4.859261717994518,NA,NA,NA
fast_nonfast_engagement,Advisors,4.815481325228033,4.879586079111787,NA,NA,NA
fast_nonfast_engagement,Faculty,4.819050527161819,4.863631451249529,NA,NA,NA
fast_nonfast_engagement,Staff,4.811379021234424,4.8769418258175845,NA,NA,NA
fast_nonfast_engagement,Admin,4.8324415942512555,4.873556512374397,NA,NA,NA
firstgen_key,"Academic
Distress",NA,NA,3.9286489837769056,3.7703478371597203,NA
firstgen_key,Loneliness,NA,NA,3.8969272516785782,3.7585045423584518,NA
firstgen_key,"Community
Belong",NA,NA,2.6802262149333824,2.7168946042869266,NA
firstgen_key,"Faculty
Quality",NA,NA,4.707234292834804,4.953084621855176,NA
firstgen_key,"Overall
Experience",NA,NA,2.8267764144200545,2.971778651031068,NA
fast_effect_sizes,Academic Distress,NA,NA,NA,NA,0.13710619559221116
fast_effect_sizes,Mental Health,NA,NA,NA,NA,0.1719472848102371
fast_effect_sizes,Community Belonging,NA,NA,NA,NA,-0.06497155538237576
fast_effect_sizes,Faculty Quality,NA,NA,NA,NA,-0.04213071945690734
fast_effect_sizes,Overall Experience,NA,NA,NA,NA,0.01044876467942559
