panel,z_level,label,estimate,ci_low,ci_high
direct_by_z,low,dir_z_low,0.0160582938625901,-0.0381235645184268,0.070240152243607
direct_by_z,mid,dir_z_mid,0.0181536595984706,-0.0189908553827838,0.055298174579725
direct_by_z,high,dir_z_high,0.0202490253343511,-0.0057754793044361,0.0462735299731383
ind_emodiss_by_z,low,ind_EmoDiss_z_low,-0.0175555632129933,-0.0463762943677082,0.0112651679417217
ind_emodiss_by_z,mid,ind_EmoDiss_z_mid,-0.0246177871805852,-0.0445021388587635,-0.0047334355024069
ind_emodiss_by_z,high,ind_EmoDiss_z_high,-0.0316800111481771,-0.0458527022032972,-0.017507320093057
ind_qualengag_by_z,low,ind_QualEngag_z_low,0.002778583969457,-0.0192797288497452,0.0248368967886592
ind_qualengag_by_z,mid,ind_QualEngag_z_mid,-0.0016789947591603,-0.016823086939305,0.0134650974209843
ind_qualengag_by_z,high,ind_QualEngag_z_high,-0.0061365734877777,-0.0167170112935016,0.0044438643179461
total_by_z,low,total_z_low,0.0012813146190538,-0.063791691726246,0.0663543209643536
total_by_z,mid,total_z_mid,-0.0081431223412749,-0.053110003452293,0.0368237587697431
total_by_z,high,total_z_high,-0.0175675593016038,-0.0495959151252726,0.014460796522065
