"parameter","est","boot_se","ci_lower","ci_upper","sig"
"a1",0.123843947861001,0.0506076693129034,0.0246547386661973,0.223033157055804,TRUE
"a1z",0.0233832174773145,0.0184796280695142,-0.0128361879866288,0.0596026229412577,FALSE
"g1",-0.00435046289234415,0.0341550497925771,-0.0712931303759675,0.0625922045912792,FALSE
"a2",-0.0105486934624424,0.0485473443873178,-0.105699740006648,0.0846023530817632,FALSE
"a2z",-0.0184325474895053,0.0176050969342247,-0.0529379034249222,0.0160728084459117,FALSE
"g2",0.0564656916256436,0.0326760004710015,-0.00757809245633321,0.12050947570762,FALSE
"c",0.0181536595984706,0.0189516313943754,-0.0189908553827838,0.055298174579725,FALSE
"cz",0.00137910345150077,0.00693713940425993,-0.0122174399365823,0.0149756468395839,FALSE
"b1",-0.198780704311974,0.00980086657718694,-0.217990049820543,-0.179571358803406,TRUE
"b2",0.159166134188871,0.00810840882662242,0.143273944916764,0.175058323460977,TRUE
"g3",0.00254797338535151,0.0128325601384192,-0.0226033823153944,0.0276993290860974,FALSE
"dir_z_low",0.0160582938625901,0.0276443132671807,-0.0381235645184268,0.070240152243607,FALSE
"dir_z_mid",0.0181536595984706,0.0189516313943754,-0.0189908553827838,0.055298174579725,FALSE
"dir_z_high",0.0202490253343511,0.0132780524765073,-0.00577547930443618,0.0462735299731383,FALSE
"a1_z_low",0.0883162340819604,0.0738414208011481,-0.0564102912555567,0.233042759419477,FALSE
"a1_z_mid",0.123843947861001,0.0506076693129034,0.0246547386661973,0.223033157055804,TRUE
"a1_z_high",0.159371661640041,0.0353042897370183,0.0901765252557185,0.228566798024364,TRUE
"a2_z_low",0.0174571304606787,0.0706933134783002,-0.12109921790459,0.156013478825947,FALSE
"a2_z_mid",-0.0105486934624424,0.0485473443873178,-0.105699740006648,0.0846023530817632,FALSE
"a2_z_high",-0.0385545173855634,0.0338691936578142,-0.104936917140292,0.0278278823691649,FALSE
"ind_EmoDiss_z_low",-0.0175555632129933,0.0147047248735432,-0.0463762943677082,0.0112651679417217,FALSE
"ind_EmoDiss_z_mid",-0.0246177871805852,0.0101452638084289,-0.0445021388587635,-0.0047334355024069,TRUE
"ind_EmoDiss_z_high",-0.0316800111481771,0.00723109769715796,-0.0458527022032972,-0.017507320093057,TRUE
"ind_QualEngag_z_low",0.002778583969457,0.0112544480374106,-0.0192797288497452,0.0248368967886592,FALSE
"ind_QualEngag_z_mid",-0.00167899475916036,0.00772671962321723,-0.016823086939305,0.0134650974209843,FALSE
"ind_QualEngag_z_high",-0.00613657348777773,0.00539828174863466,-0.0167170112935016,0.00444386431794611,FALSE
"total_z_low",0.00128131461905383,0.0332011235199154,-0.063791691726246,0.0663543209643536,FALSE
"total_z_mid",-0.00814312234127497,0.0229427078587725,-0.053110003452293,0.0368237587697431,FALSE
"total_z_high",-0.0175675593016038,0.0163412981444069,-0.0495959151252726,0.014460796522065,FALSE
"index_MM_EmoDiss",-0.00464813243922064,0.00368412507047725,-0.0118688848918971,0.00257262001345585,FALSE
"index_MM_QualEngag",-0.00293383732715733,0.0028078288919672,-0.00843708083016405,0.0025694061758494,FALSE
